2481	¡Intentemos algo!	380381	Proviamo a fare qualcosa!
2482	Tengo que irme a dormir.	4369	Devo andare a dormire.
2483	¿Qué estás haciendo?	350953	Che stai facendo?
2483	¿Qué estás haciendo?	350954	Che fai?
2483	¿Qué estás haciendo?	376072	Cosa stai facendo?
2484	¿Qué es eso?	4371	Che cos'è?
2485	¡Hoy es 18 de junio y es el cumpleaños de Muiriel!	383739	Oggi è il 18 giugno ed è il compleanno di Muiriel!
2486	¡Feliz cumpleaños, Muiriel!	382902	Buon compleanno, Muiriel!
2488	La contraseña es "Muiriel".	4373	La parola d'accesso è "Muiriel".
2488	La contraseña es "Muiriel".	565599	La password è "Muiriel".
2489	Volveré pronto.	381425	Ritorno presto.
2489	Volveré pronto.	381426	Ritornerò presto.
2489	Volveré pronto.	565598	Tornerò presto.
2491	No tengo palabras.	1312012	Non ho parole.
2494	Era un conejo malo.	568670	Era un coniglietto cattivo.
2495	Yo estaba en las montañas.	380464	Ero in montagna.
2496	¿Es una foto reciente?	568678	È una foto recente?
2497	No sé si tengo tiempo.	383017	Non so se ho tempo.
2498	Por alguna razón, el micrófono no había funcionado hasta entonces.	2194124	Il microfono, per qualche motivo, fino a quel momento non aveva funzionato.
2500	La educación en este mundo me decepciona.	568679	L'educazione in questo mondo mi delude.
2503	Eso no va a cambiar nada.	4375	Non cambierà niente.
2504	Eso va a costar 30 €.	4376	Costerà trenta euro.
2505	Gano 100 € al día.	382359	Guadagno 100€ al giorno.
2508	Eso no va a pasar.	350990	Quello non succederà.
2513	No te preocupes.	4377	Non ti preoccupare.
2517	Deberías dormir.	378723	Dovresti dormire.
2521	No puedo vivir así.	375237	Non posso vivere così.
2523	Nunca me gustó la biología.	375238	Non mi è mai piaciuta la biologia.
2526	Desafortunadamente es verdad.	375240	È sfortunatamente vero.
2532	¿Estás seguro?	4379	Sei sicuro?
2534	¡Ah, allí hay una mariposa!	760699	Oh, là c'è una farfalla!
2536	No me sorprende.	376617	Non mi sorprende.
2541	Es la cosa más estúpida que he dicho nunca.	384904	È la cosa più stupida che abbia mai detto.
2543	Cuando crezca, quiero ser un rey.	380422	Quando sarò grande, voglio essere un re.
2545	Estoy tan gordo.	836296	Sono così grasso.
2546	¿Entonces qué?	4380	E allora?
2548	No soy un pez de verdad, sólo soy un peluche.	602391	Non sono un vero pesce, non sono che un semplice pupazzo.
2553	Me tomaría una eternidad explicarte todo.	1081551	Mi ci vorrebbe una vita per spiegare tutto.
2554	Eso es porque eres una chica.	380348	È perché sei una ragazza.
2563	Creo que lo mejor es no ser maleducado.	399292	Penso che sia meglio non essere maleducati.
2567	Cuando me desperté estaba triste.	381870	Quando mi sono svegliato ero triste.
2569	Yo pensaba que te gustaba aprender cosas nuevas.	384838	Pensavo che ti piacesse imparare cose nuove.
2571	Si pudiera enviarte un malvavisco, Trang, lo haría.	381159	Se potessi inviarti un marshmallow, Trang, lo farei.
2572	Para hacer eso, tienes que arriesgarte.	4381	Per farlo, bisogna correre dei rischi.
2574	¿Por qué lo preguntas?	4382	Perché lo chiedi?
2575	No soy un artista. Nunca tuve mente para ello.	4383	Non sono un artista. Non ho mai avuto lo spirito per queste cose.
2581	La inocencia es una cosa hermosa.	4384	L'innocenza è una cosa bella.
2589	No sabía de dónde venía eso.	383019	Non sapevo da dove venisse.
2591	No es importante.	4385	Non è importante.
2593	Ella pregunta cómo es posible eso.	380631	Chiede come sia possibile.
2599	Deseo poder ir a Japón.	4386	Mi piacerebbe tanto andare in Giappone.
2608	No era mi intención.	383776	Non era mia intenzione.
2609	Gracias por tu explicación.	382193	Grazie per la tua spiegazione.
2611	¿Qué ocurrió?	388816	Che cos'è successo?
2615	¿Querías hablarme de libertad?	4387	Mi volevi parlare di libertà?
2619	Hay muchas palabras que no entiendo.	380377	Ci sono molte parole che non capisco.
2626	Nadie sabrá.	382051	Nessuno lo saprà.
2629	Salvo que aquí no es tan simple.	4388	Salvo che qui non è così semplice.
2631	¿Qué has respondido?	388817	Che cos'hai risposto?
2632	No, no es mi nuevo novio.	384839	No, non è il mio nuovo ragazzo.
2636	¿Dónde está el problema?	373782	Dov'è il problema?
2637	Sólo puedo esperar.	497693	Non posso far altro che aspettare.
2639	Te quiero.	4389	Ti amo.
2639	Te quiero.	1255261	Ti voglio.
2640	Ya no te quiero.	388254	Non ti amo più.
2641	Tengo curiosidad.	388818	Sono curioso.
2641	Tengo curiosidad.	838287	Sono curiosa.
2642	¡Felicidades!	4390	Congratulazioni!
2644	¿Por qué no vienes a visitarnos?	935010	Perché non vieni a trovarci?
2648	Ya no sé qué hacer.	383021	Non so più cosa fare.
2650	Detesto la química.	380905	Detesto la chimica.
2656	No tengo nada mejor que hacer.	387355	Non ho niente di meglio da fare.
2657	Tampoco lo puedo explicar.	4391	Neanch'io lo posso spiegare.
2661	¿Cómo podría ser yo un robot? Si los robots no sueñan.	388819	Come potrei essere un robot? I robot non sognano.
2664	No sé si todavía lo tengo.	383022	Non so se ce l'ho ancora.
2665	¿Qué piensas que estaba haciendo?	380751	Cosa credi che stessi facendo?
2671	¿Cómo encuentras comida en el espacio?	388820	Come trovi del cibo nello spazio?
2672	Todos quieren conocerte. ¡Eres famoso!	380445	Tutti ti vogliono conoscere, sei famoso!
2676	Cualquier cosa que hago, ella dice que puedo hacerlo mejor.	399293	Qualsiasi cosa faccia, lei dice che posso fare meglio.
2685	No hablo japonés.	353409	Non parlo giapponese.
2685	No hablo japonés.	1472939	Io non parlo giapponese.
2686	Es un juego de palabras.	4393	È un gioco di parole.
2687	Nadie me entiende.	375355	Nessuno mi capisce.
2688	Aprendí a vivir sin ella.	395218	Ho imparato a vivere senza di lei.
2690	Tengo demasiadas cosas en la cabeza estos días.	383750	Ho troppe cose per la testa in questi giorni.
2697	¡Nunca tienes tiempo para las cosas importantes!	380233	Non hai mai tempo per le cose importanti!
2704	¡No puede ser!	4394	Non è possibile.
2706	"¿Quién es?" "Es tu madre."	4395	"Chi è?" "È tua madre."
2710	—¿Cuál es tu deseo? —preguntó el pequeño conejo blanco.	384855	"Qual è il tuo desiderio?" chiese il piccolo coniglio bianco.
2717	Algún día correré como el viento.	386464	Un giorno correrò come il vento.
2719	Por favor, no llores.	4396	Ti prego, non piangere.
2726	Allen es un poeta.	423807	Allen è un poeta.
2727	El arquero mató al ciervo.	384903	L'arciere uccise il cervo.
2731	¿Cómo se escribe "pretty"?	4397	Come si scrive "pretty"?
2736	Un millón de personas perdieron la vida en la guerra.	399849	Un milione di persone ha perso la vita durante la guerra.
2744	¡Oh, mis pantalones blancos! Eran nuevos.	380662	Oh, i miei pantaloni bianchi! Erano nuovi.
2746	Al salir de la estación vi a un hombre.	381428	Quando ho lasciato la stazione, ho visto un uomo.
2748	¡Eres un ángel!	4398	Sei un angelo!
2752	¿Me has echado de menos?	381447	Ti sono mancato?
2752	¿Me has echado de menos?	1280404	Ti sono mancata?
2754	¿Son todos iguales?	380187	Sono tutti uguali?
2755	¡Muchas gracias!	382975	Grazie mille!
2756	Por favor, ¿dónde están los huevos?	382090	Per favore, dove sono le uova?
2758	Es una sorpresa.	376618	È una sorpresa.
2760	¿Ida y vuelta? Sólo ida.	4399	Andata e ritorno? Solo andata.
2764	Estirar después del lavado.	4400	Mettere in forma dopo il lavaggio.
2766	No abrir antes de que pare el tren.	4401	Non aprire prima che il treno sia fermo.
2769	Se dice que el amor es ciego.	380188	Si dice che l'amore è cieco.
2771	Las mates son como el amor: una idea simple, pero puede complicarse.	4402	La matematica è come l'amore - un'idea semplice, che però può diventare complicata.
2772	Las únicas respuestas útiles son las que plantean nuevas preguntas.	4403	Le sole risposte utili sono quelle che propongono nuove domande.
2773	Dudar de sí mismo es la primera señal de inteligencia.	4404	Dubitare di sé stessi è il primo segno di intelligenza.
2778	¿Hablas italiano?	4405	Parli italiano?
2782	Es imposible para mí explicártelo.	382195	È impossibile per me spiegartelo.
2785	Me olvidarás algún día.	612158	Mi dimenticherai un giorno.
2787	No puedo vivir sin tele.	4406	Non posso vivere senza TV.
2793	No podemos dormir por el ruido.	4408	Non riusciamo a dormire dal rumore.
2794	¿Llevas condones?	4409	Hai un preservativo?
2798	Ya son las once.	373755	Sono già le undici.
2800	"Sí, zumo de naranja por favor," dice Mike.	4410	"Sì, un succo d'arancia, per cortesia", dice Mike.
2802	¿Qué quieres?	380446	Che vuoi?
2802	¿Qué quieres?	706290	Cosa vuoi?
2804	¿Necesitas que te dé algo de dinero?	384495	Hai bisogno che ti dia dei soldi?
2805	París es la ciudad más bonita del mundo.	995511	Parigi è la più bella città del mondo.
2807	Tengo un sueño.	373736	Ho un sogno.
2807	Tengo un sueño.	1358794	Io ho un sogno.
2810	Todo lo que es inventado es verdadero.	1086042	Ogni cosa inventata è vera.
2811	Sorprenderse, extrañarse, es comenzar a entender.	4411	Sorprendersi, stupirsi, è cominciare a capire.
2812	No cabe duda de que el universo es infinito.	4412	Non c'è dubbio che il tutto è infinito.
2813	Para ser perfecta sólo le faltaba un defecto.	4413	Per essere perfetta le mancava solo un difetto.
2814	Y sin embargo, también lo contrario es siempre verdadero.	4414	Eppure, è sempre vero anche il contrario.
2815	No vemos las cosas según son, sino según somos.	4415	Non vediamo le cose come sono, ma come siamo.
2816	El mundo es una jaula de locos.	4416	Il mondo è una gabbia di matti.
2822	Me llamo Jack.	4418	Mi chiamo Jack.
2823	Me gusta mucho.	475644	Mi piace molto.
2824	¿Nos vemos mañana?	4420	Ci vediamo domani?
2824	¿Nos vemos mañana?	2613077	Ci si vede domani?
2825	¿Cómo se dice eso en italiano?	4421	Come si dice questo in italiano?
2826	¿Está lejos de aquí?	4422	È lontana da qui?
2827	¡Estas cosas no son mías!	4423	Queste non sono le mie cose!
2828	Gracias, es todo.	4424	Grazie, è tutto.
2829	¿Bailas conmigo?	4425	Vuoi ballare con me?
2830	¿Qué hora es?	4426	Che ore sono?
2831	¿De dónde vienes?	4427	Da dove vieni?
2833	Italia es un país muy bonito.	4429	L'Italia è un paese molto bello.
2834	¡No es culpa mía!	4430	Non è colpa mia!
2835	Me gustaría quedarme por una noche.	4431	Vorrei rimanere per una notte.
2835	Me gustaría quedarme por una noche.	1450773	Mi piacerebbe fermarmi per una notte.
2836	¿Puedes marcarme el número? El teléfono está muy alto.	4432	Potrebbe compormi il numero? Il telefono è troppo in alto per me.
2837	¿Hay algún albergue juvenil cerca de aquí?	4433	C'è un ostello della gioventù qui vicino?
2838	¿Dónde están las duchas?	4434	Dove sono le docce?
2839	¡Abra la boca!	4435	Apra la bocca!
2840	¿Es grave?	4436	È grave?
2841	He perdido mi monedero.	4437	Ho perso il mio portafoglio.
2842	Yo estoy de acuerdo.	4438	Io sono d'accordo.
2842	Yo estoy de acuerdo.	335152	Sono d'accordo.
2843	Amar a alguien no es nunca un desperdicio.	4439	Non c'è amore sprecato.
2844	La vida es lo que te pasa mientras estás ocupado haciendo otros planes.	4440	La vita è quello che ti succede mentre sei impegnato a fare altri progetti.
2845	No desear es lo mismo que poseer.	4441	Non desiderare è lo stesso che avere.
2846	Es muy sexy.	4442	È molto sexy.
2847	No eres lo bastante rápido.	4392	Non sei abbastanza veloce.
2848	¡Déjame en paz!	4443	Lasciami stare!
2850	¡Hay demasiadas cosas que hacer!	376691	Ci sono troppe cose da fare!
2851	¿Cuántos años tienes?	4444	Quanti anni hai?
2854	Gracias a ti he perdido mi apetito.	409484	Grazie a te ho perso il mio appetito.
2857	¿Quién no conoce este problema?	632849	Chi non conosce questo problema?!
2858	Hoy hace mucho calor.	409884	Oggi fa molto caldo.
2859	Nadie vino.	375356	Non è venuto nessuno.
2859	Nadie vino.	621052	Nessuno è venuto.
2860	Nunca he visto una nevera roja.	386836	Non ho mai visto un frigorifero rosso.
2862	Mejor ser odiado por lo que eres que querido por lo que no eres.	399294	Meglio essere odiati per quello che si è che essere amati per quello che non si è.
2865	¡Mírame cuando te hablo!	383883	Guardami quando ti parlo!
2866	¿Qué sería del mundo sin las mujeres?	409608	Cosa sarebbe il mondo senza le donne?
2870	¿Cómo has llegado a esta idea loca?	4445	Come ti è venuta in mente questa stupida idea?
2872	¿Quién quiere chocolate caliente?	379726	Chi vuole una cioccolata calda?
2874	No entiendo.	373883	Non capisco.
2876	La cuenta, por favor.	4447	Il conto, per favore.
2880	Debo admitir que ronco...	4450	Vi devo confessare che russo.
2881	Esta noche nos vamos a la iglesia.	4451	Stasera andiamo in chiesa.
2882	¿Cómo estás? ¿Has tenido un buen viaje?	4452	Come stai? Hai fatto un buon viaggio?
2884	¡Llama a la policía!	4454	Chiamate la polizia!
2884	¡Llama a la policía!	380537	Chiama la polizia!
2885	¡Es demasiado caro!	4455	È troppo caro!
2887	Mis zapatos son muy pequeños, necesito otros nuevos.	4456	Le mie scarpe sono troppo piccole, ne ho bisogno di nuove.
